[Vulkan] Usando dispositivo: Intel(R) Graphics (ADL GT2) (tipo: IntegratedGpu)
Paso  | Token           | LogitVar | Entropy  | X-Move   | X-Sigma 
----------------------------------------------------------------------
  -> gemv: key=l13_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l13_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l14_q, n_in=576, n_out=576
  -> gemv: key=l14_k, n_in=576, n_out=192
  -> gemv: key=l14_v, n_in=576, n_out=192
  -> gemv: key=l14_o, n_in=576, n_out=576
  -> gemv: key=l14_gate, n_in=576, n_out=1
  -> gemv: key=l14_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l14_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l14_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l15_q, n_in=576, n_out=576
  -> gemv: key=l15_k, n_in=576, n_out=192
  -> gemv: key=l15_v, n_in=576, n_out=192
  -> gemv: key=l15_o, n_in=576, n_out=576
  -> gemv: key=l15_gate, n_in=576, n_out=1
  -> gemv: key=l15_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l15_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l15_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l16_q, n_in=576, n_out=576
  -> gemv: key=l16_k, n_in=576, n_out=192
  -> gemv: key=l16_v, n_in=576, n_out=192
  -> gemv: key=l16_o, n_in=576, n_out=576
  -> gemv: key=l16_gate, n_in=576, n_out=1
  -> gemv: key=l16_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l16_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l16_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l17_q, n_in=576, n_out=576
  -> gemv: key=l17_k, n_in=576, n_out=192
  -> gemv: key=l17_v, n_in=576, n_out=192
  -> gemv: key=l17_o, n_in=576, n_out=576
  -> gemv: key=l17_gate, n_in=576, n_out=1
  -> gemv: key=l17_e0_w1, n_in=576, n_out=1536
